model,layer,selected_distribution
LeNet-5,features.0,gennorm
LeNet-5,features.3,gennorm
LeNet-5,classifier.0,student_t
LeNet-5,classifier.2,gennorm
LeNet-5,classifier.4,gennorm
VGG-mini,features.0,gennorm
VGG-mini,features.2,skewnormal
VGG-mini,features.5,gennorm
VGG-mini,features.7,gennorm
VGG-mini,classifier.0,student_t
VGG-mini,classifier.2,gennorm
ResNet-mini,stem.0,gennorm
ResNet-mini,stage1.conv1,student_t
ResNet-mini,stage1.conv2,student_t
ResNet-mini,stage2.conv1,gennorm
ResNet-mini,stage2.conv2,gennorm
ResNet-mini,stage2.shortcut.0,gennorm
ResNet-mini,head,uniform
